"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","lat","long","sqft_living15","sqft_lot15"
"72",325000,"4",2,1260,5612,"1","0","0","4","7",1260,0,43,2015,47.7362,-122.179,1640,4745
"73",571000,"5",2,2750,7807,"1.5","0","0","5","7",2250,500,99,2015,47.7168,-122.287,1510,7807
"74",360000,"5",2.5,2380,5000,"2","0","0","3","8",2380,0,10,2015,47.3608,-122.036,2420,5000
"75",349000,"4",1.75,1790,50529,"1","0","0","5","7",1090,700,50,2015,47.3511,-122.073,1940,50529
"76",832500,"5",4,3430,35102,"2","0","0","4","10",2390,1040,29,2015,47.5822,-121.987,3240,35020
"77",380000,"5",1.75,1760,7300,"1","0","0","3","7",880,880,59,2015,47.6034,-122.125,1680,7500
"78",480000,"4",1,1040,5060,"1","0","0","3","7",1040,0,74,2015,47.5636,-122.394,890,5060
"79",410000,"4",1,1410,5060,"1","0","0","4","7",910,500,59,2015,47.7073,-122.34,1130,5693
"80",720000,"5",2.5,3450,39683,"2","0","0","3","10",3450,0,13,2015,47.342,-122.025,3350,39750
"81",390000,"4",2.5,2350,5100,"2","0","0","3","8",2350,0,12,2015,47.3512,-122.008,2350,5363
"82",360000,"5",2.5,1900,5889,"2","0","0","3","7",1900,0,23,2015,47.349,-122.031,1870,6405
"83",355000,"3",1,2020,6720,"1","0","0","3","7",1010,1010,67,2015,47.5474,-122.291,1720,6720
"84",356000,"4",1.5,1680,8712,"1","0","0","3","8",1680,0,51,2015,47.4811,-122.149,1850,8797
"85",315000,"4",1,960,6634,"1","0","0","3","6",960,0,63,2015,47.7264,-122.31,1570,7203
"86",940000,"4",1.5,2140,3600,"2","0","0","3","9",1900,240,90,2015,47.6337,-122.365,2020,4800
"87",305000,"6",2.25,2660,8400,"1.5","0","0","5","7",2660,0,54,2015,47.2909,-122.189,1590,8165
"88",461000,"4",3.25,2770,6278,"2","0","0","3","9",1980,790,9,2015,47.5228,-122.199,1900,7349
"89",215000,"3",2.25,1610,2040,"2","0","0","4","7",1610,0,36,2015,47.518,-122.194,1950,2025
"90",335000,"3",1.75,1030,1066,"2","0","0","3","7",765,265,9,2015,47.5394,-122.387,1030,1106
"91",243500,"5",2.5,1980,7403,"2","0","0","3","7",1980,0,27,2015,47.2897,-122.372,1980,7510
"92",1099880,"6",2.75,3520,6353,"2","0","0","4","10",3520,0,14,2015,47.6506,-122.391,2520,6250
"93",153000,"4",1,1200,10500,"1","0","0","3","7",1200,0,53,2015,47.322,-122.351,1350,10500
"94",430000,"4",1.5,1580,5000,"1","0","0","3","8",1290,290,76,2015,47.687,-122.386,1570,4500
"95",7e+05,"4",1.5,1580,5000,"1","0","0","3","8",1290,290,76,2015,47.687,-122.386,1570,4500
"96",905000,"5",2.5,3300,10250,"1","0","0","3","7",2390,910,69,1991,47.5873,-122.249,1950,6045
"97",247500,"4",1.75,1960,15681,"1","0","0","3","7",1960,0,48,2015,47.3576,-122.277,1750,15616
"98",199000,"5",1.5,1160,6400,"1","0","0","4","7",1160,0,40,2015,47.3036,-122.378,1160,6400
"99",314000,"4",1.75,1810,41800,"1","0","0","5","7",1210,600,35,2015,47.4109,-121.958,1650,135036
"100",437500,"4",2.5,2320,36847,"2","0","2","3","9",2320,0,23,2015,47.4838,-121.714,2550,35065
"101",850830,"4",2.5,2070,13241,"1.5","0","0","5","9",1270,800,105,2015,47.6415,-122.315,2200,4500
"102",555000,"4",2,1980,3478,"1.5","0","0","4","7",1440,540,86,2015,47.6775,-122.372,1610,3478
"103",699950,"4",2.25,2190,107593,"2","0","0","4","8",2190,0,32,2015,47.7731,-122.08,2570,47777
"104",1088000,"4",2.5,2920,8113,"2","0","0","3","8",2920,0,65,2010,47.5814,-122.196,2370,8113
"105",290000,"4",1,1210,33919,"1","0","0","3","7",1210,0,61,2015,47.4375,-122.184,1640,14910
"106",375000,"4",2.5,2340,10005,"1","0","0","4","8",1460,880,37,2015,47.4431,-122.133,2250,8162
"107",460000,"4",1,1670,4005,"1.5","0","0","4","7",1170,500,76,2015,47.6878,-122.38,1240,4005
"108",188500,"3",1.75,1240,2493,"1","0","0","4","8",1240,0,30,2015,47.3813,-122.322,1270,4966
"109",680000,"5",2.5,3140,28037,"2","0","0","4","10",3140,0,24,2015,47.7304,-122.082,2990,35001
"110",470000,"6",1.75,2030,12342,"2","0","0","4","7",2030,0,73,2015,47.6417,-122.109,2500,9433
"111",597750,"5",2.5,2310,9624,"2","0","0","3","8",2310,0,31,2015,47.5386,-122.053,1940,9636
"112",570000,"4",1.75,1260,3328,"1","0","0","5","6",700,560,110,2015,47.6823,-122.349,1380,3536
"113",272500,"4",1.75,1540,12600,"1","0","0","4","7",1160,380,35,2015,47.3624,-122.031,1540,11656
"114",329950,"4",1.75,2080,5969,"1","0","2","3","7",1080,1000,44,2015,47.5474,-122.295,2090,5500
"115",480000,"5",2.5,3230,16171,"2","0","3","3","9",2520,710,14,2015,47.3183,-122.253,2640,8517
"116",740500,"4",3.5,4380,6350,"2","0","0","3","8",2780,1600,115,1999,47.6981,-122.368,1830,6350
"117",518500,"4",3.5,1590,1102,"3","0","0","3","8",1590,0,5,2015,47.6824,-122.347,1620,3166
"118",205425,"3",1,880,6780,"1","0","0","4","6",880,0,70,2015,47.5009,-122.248,1190,6780
"119",171800,"5",2,1570,9600,"1","0","0","3","6",1570,0,65,2015,47.4965,-122.303,1880,9000
"120",535000,"5",1,1610,2982,"1.5","0","0","4","7",1610,0,90,2015,47.587,-122.294,1610,4040
"121",660000,"4",2.5,2400,6474,"1","0","2","3","8",1560,840,51,2015,47.7728,-122.386,2340,10856
"122",391500,"4",2,1450,9132,"1","0","0","3","7",1450,0,28,2015,47.7288,-122.226,1580,9104
"123",395000,"3",1,770,6000,"1","0","0","3","6",770,0,62,2015,47.6999,-122.364,1710,6000
"124",445000,"5",1.75,2100,4400,"1.5","0","0","5","7",1720,380,91,2015,47.5299,-122.266,1850,4400
"125",770000,"4",2.25,2910,10204,"2","0","0","3","9",2910,0,25,2015,47.6897,-122.098,2700,13992
"127",445000,"4",2.25,2100,8201,"1","0","2","3","8",1620,480,48,2015,47.5091,-122.244,2660,8712
"128",260000,"5",2.25,2160,8811,"1","0","0","3","8",1360,800,37,2015,47.3129,-122.39,2090,8400
"129",822500,"6",3.5,2320,4960,"2","0","0","5","7",1720,600,89,2015,47.6763,-122.352,1700,4960
"130",430000,"5",2.5,2070,4310,"2","0","0","3","7",2070,0,11,2015,47.5319,-121.85,1970,3748
"131",212000,"4",1.75,1060,7875,"1","0","0","4","7",1060,0,29,2015,47.2761,-122.152,1420,7680
"132",660500,"5",2.25,2010,9603,"1","0","0","3","8",1440,570,29,2015,47.5343,-122.054,2060,9793
"133",784000,"4",3.5,3950,111078,"1.5","0","0","3","9",2460,1490,26,2015,47.697,-122.072,2480,88500
"134",453246,"4",2.5,2010,2287,"2","0","0","3","8",1390,620,1,2015,47.5517,-121.998,1690,1662
"135",675000,"5",3.5,2140,2278,"3","0","0","3","9",2140,0,10,2015,47.6734,-122.38,1540,2285
"136",199000,"4",1.75,1320,17390,"1","0","0","4","7",1320,0,59,2015,47.3257,-122.296,1550,19265
"137",220000,"5",1.75,2020,7840,"1","0","0","3","7",1010,1010,47,2015,47.3309,-122.299,1750,8140
"138",452000,"5",2.25,2590,10002,"1","0","0","4","8",1340,1250,47,2015,47.7689,-122.266,1550,10436
"139",382500,"3",1,1190,4440,"1","0","0","3","6",1190,0,34,2015,47.7135,-122.287,1060,5715
"140",519950,"4",2.25,1170,1249,"3","0","0","3","8",1170,0,1,2015,47.6722,-122.381,1350,1310
"141",665000,"3",1,1110,3200,"1","0","0","3","7",1110,0,90,2015,47.6338,-122.358,1170,3600
"142",527700,"6",2.5,2820,9375,"1","0","0","4","8",1550,1270,47,2015,47.5707,-122.128,2820,9375
"143",205000,"4",1,1610,8579,"1","0","0","4","7",1010,600,53,2015,47.4563,-122.171,1610,8579
"144",420000,"4",1,1060,8097,"1","0","0","4","7",940,120,92,2015,47.7144,-122.351,1560,7940
"145",5e+05,"5",2.25,2030,8517,"1","0","0","4","8",1380,650,54,2015,47.5495,-122.174,2230,8824
"146",921500,"5",2.5,3670,315374,"2","0","0","4","9",3670,0,21,2015,47.7421,-122.026,2840,87991
"147",890000,"5",1,2550,4000,"2","0","0","3","8",2370,180,110,2015,47.6354,-122.353,2200,4000
"148",430000,"3",2.5,2420,60984,"2","0","0","3","7",2420,0,8,2015,47.5262,-121.943,1940,193842
"149",258000,"6",2,2260,12500,"1","0","0","4","8",1130,1130,55,2015,47.3887,-122.286,1360,18000
"150",511000,"4",1,1430,3455,"1","0","0","3","7",980,450,68,2015,47.6873,-122.336,1450,4599
"151",532170,"4",2,1360,3090,"2","0","0","3","8",1360,0,25,2015,47.6838,-122.353,1500,3090
"152",560000,"4",1,1110,5000,"1.5","0","0","3","7",1110,0,68,2015,47.655,-122.359,1420,5000
"153",282950,"4",1,1250,8200,"1","0","0","4","7",1250,0,61,2015,47.3255,-122.304,1680,8633
"155",350000,"2",1,700,5100,"1","0","0","3","7",700,0,73,2015,47.679,-122.3,1010,5100
"156",215000,"4",1,1180,7669,"1","0","0","4","7",1180,0,48,2015,47.4479,-122.176,1190,7669
"157",650000,"6",3.5,3960,25245,"2","0","0","3","9",2500,1460,19,2015,47.525,-122.172,2640,13675
"158",320000,"5",2.75,2640,7500,"1","0","0","3","8",1620,1020,48,2015,47.3135,-122.369,1980,7875
"159",247000,"4",2,1270,7198,"1.5","0","0","3","7",1270,0,99,2013,47.2086,-121.996,1160,7198
"160",320000,"5",1.75,1760,11180,"1","0","0","4","8",1760,0,47,2015,47.4715,-122.118,1730,11180
"161",255000,"6",2.25,2060,8632,"1","0","0","3","7",1030,1030,53,2015,47.4877,-122.335,1010,11680
"162",438000,"4",1.75,1780,9660,"1","0","0","3","7",1780,0,53,2015,47.7171,-122.193,1200,9660
"163",9e+05,"4",2.5,3400,16603,"2","0","0","3","10",3400,0,15,2015,47.6012,-122.023,3400,12601
"164",441000,"4",2.75,1910,7280,"1","0","0","3","7",1160,750,36,2015,47.7319,-122.224,1710,8152
"165",420000,"4",2,2020,38332,"1","0","0","4","7",1010,1010,40,2015,47.4582,-122.023,2110,36590
"166",370000,"4",1.75,1580,7000,"1","0","0","3","7",1180,400,39,2015,47.7209,-122.168,1640,7500
"167",269950,"3",1.75,1340,7250,"1","0","0","5","5",700,640,66,2015,47.408,-122.327,1830,9750
"168",807100,"5",2.5,2680,4499,"2","0","0","3","9",2680,0,16,2015,47.565,-122.125,2920,4500
"169",653000,"4",2.5,2680,9750,"1","0","0","4","8",1610,1070,36,2015,47.7028,-122.231,2480,8750
"170",371500,"4",2,1370,8336,"1","0","0","5","7",1370,0,51,2015,47.7458,-122.331,1770,7288
"171",284000,"4",1.75,1560,21000,"1","0","0","3","7",1560,0,61,2015,47.4776,-122.337,1070,7920
"172",272000,"4",1.75,2160,7140,"1","0","0","4","7",1670,490,37,2015,47.3026,-122.374,1930,7350
"173",313000,"4",1.5,1340,7912,"1.5","0","0","3","7",1340,0,60,2015,47.7658,-122.339,1480,7940
"174",917500,"5",2.5,3880,35003,"2","0","0","3","10",2570,1310,31,2015,47.6477,-122.182,3740,35230
"175",673000,"5",2.25,2590,8190,"2","0","0","4","8",2590,0,35,2015,47.5619,-122.125,2260,8335
"176",425000,"4",2.5,1120,1100,"2","0","0","3","8",820,300,7,2015,47.6106,-122.31,1590,1795
"177",399950,"6",2.75,1970,5400,"1","0","0","3","7",1320,650,29,2015,47.5868,-122.308,1280,2150
"178",385000,"4",1,1220,4800,"1","0","0","3","6",1220,0,114,2015,47.6101,-122.307,1200,4800
"179",269950,"4",1.5,1950,7560,"1","0","2","4","7",1320,630,40,2015,47.1976,-121.999,1950,8941
"180",330000,"3",1,1350,8220,"1","0","0","3","7",1060,290,66,2015,47.7224,-122.358,1540,8280
"181",260000,"4",2.5,1670,5797,"2","0","0","3","7",1670,0,27,2015,47.3505,-122.179,1670,6183
"182",470000,"5",3,2380,5125,"1.5","0","0","4","7",1680,700,90,2015,47.5384,-122.376,1410,5375
"183",589000,"5",3,2440,9600,"2","0","0","5","7",2440,0,54,2015,47.7044,-122.2,2290,9600
"184",163500,"3",1.5,1050,3419,"2","0","0","3","7",1050,0,19,2015,47.3848,-122.039,1050,3417
"185",835000,"5",2.75,3130,13412,"2","0","0","3","9",2140,990,22,2015,47.6993,-122.102,2260,9984
"186",1095000,"6",3,4090,12850,"1","0","2","4","10",2090,2000,29,2015,47.6627,-122.188,2540,10270
"187",269000,"5",1.75,1490,10000,"1","0","0","4","8",1100,390,46,2015,47.3099,-122.379,2190,8910
"188",560000,"4",2.5,1900,8744,"2","0","0","3","8",1900,0,28,2015,47.62,-122.043,2030,8744
"189",615000,"5",1,1330,2400,"1.5","0","0","4","6",1330,0,114,2015,47.65,-122.34,1330,4400
"190",585188,"4",2.25,2230,10026,"1","0","0","3","8",1430,800,40,2015,47.6647,-122.153,2230,9340
"191",305000,"4",1.75,1650,9480,"1","0","0","3","7",1220,430,38,2015,47.726,-122.191,1540,8400
"192",166950,"4",1,1190,8820,"1","0","0","3","6",1190,0,56,2015,47.4616,-122.184,1230,7980
"193",799000,"4",2.5,2140,9897,"1","0","0","4","8",2140,0,56,2015,47.5505,-122.219,2680,10083
"194",4e+05,"4",2.5,2180,7508,"1","0","0","4","7",1420,760,53,2015,47.7606,-122.336,1900,7818
"195",230000,"4",1,1060,10228,"1","0","0","3","7",1060,0,67,2015,47.7481,-122.3,1570,10228
"196",256883,"4",2.5,1690,5025,"2","0","0","3","8",1690,0,12,2015,47.2779,-122.347,2550,5001
"197",423000,"5",2,1970,6480,"1.5","0","0","5","7",1130,840,95,2015,47.5511,-122.312,1500,6480
"198",465000,"4",2.5,2150,4084,"2","0","0","3","8",2150,0,8,2015,47.5488,-122.372,1750,2385
"199",440000,"4",2.5,1910,66211,"2","0","0","3","7",1910,0,18,2015,47.5385,-121.911,2330,67268
"200",385000,"4",1.75,1350,155073,"1","0","0","4","7",1350,0,46,2015,47.4058,-121.994,1560,50965
"201",210000,"4",1,860,11725,"1","0","0","4","6",860,0,72,2015,47.5093,-122.184,1300,9514
"202",297000,"4",2.5,1940,14952,"2","0","0","3","8",1940,0,21,2015,47.3777,-122.165,2030,10450
"203",470000,"4",1,1010,5000,"1","0","0","3","7",1010,0,63,2015,47.675,-122.394,1680,5000
"204",226500,"4",1.5,1300,7370,"1","0","0","4","7",900,400,39,2015,47.3025,-122.37,1430,7500
"205",274250,"4",1,910,8450,"1","0","0","4","6",910,0,53,2015,47.4787,-122.158,1400,8040
"206",840000,"5",1.75,2480,11010,"1","0","0","4","9",1630,850,49,2015,47.5378,-122.219,2770,10744
"207",677900,"4",2.5,2440,4587,"2","0","0","3","8",2440,0,5,2015,47.7073,-122.114,2750,4587
"208",425000,"4",1,1010,5864,"1","0","0","3","7",1010,0,100,2015,47.5733,-122.381,1290,5000
"209",180250,"3",0.75,900,9600,"1","0","0","3","6",900,0,74,2015,47.4604,-122.339,1250,14280
"211",320000,"5",2.25,1550,7579,"2","0","0","3","8",1550,0,22,2015,47.354,-122.047,1630,6397
"212",625504,"4",2.25,1270,1566,"2","0","0","3","8",1060,210,1,2015,47.6647,-122.284,1160,1327
"213",592500,"5",2.5,2240,12032,"1","0","0","3","9",2240,0,32,2015,47.6143,-122.017,2520,12368
"214",465000,"4",2.5,2714,17936,"2","0","0","3","9",2714,0,10,2015,47.3185,-122.275,2590,18386
"215",477000,"5",2.75,1720,6270,"2","0","0","3","8",1720,0,37,2015,47.5458,-122.268,2130,8700
"216",280000,"3",1,850,16400,"1","0","0","3","6",850,0,92,2015,47.4889,-122.299,1100,14459
"218",445838,"4",2.5,2250,5692,"2","0","0","3","8",2250,0,15,2015,47.5133,-122.379,1320,5390
"219",1072000,"3",2.25,3900,14864,"1","0","3","3","8",1950,1950,68,2015,47.5884,-122.291,2580,5184
"220",467000,"3",1.5,1320,10800,"1","0","0","4","8",1320,0,68,2015,47.7145,-122.367,2120,12040
"221",686000,"5",2.5,2760,6440,"2","0","0","3","10",2760,0,16,2015,47.5836,-122.026,3070,8127
"222",279950,"4",2,1750,9750,"1","0","0","3","7",1350,400,54,2015,47.398,-122.299,1900,10125
"223",527000,"5",2.25,2330,19436,"2","0","0","3","8",2330,0,28,2015,47.7663,-122.215,1910,10055
"224",325000,"4",2.25,2220,16020,"1","0","0","4","8",1780,440,49,2015,47.3758,-122.217,2080,9583
"225",328000,"4",2.25,2020,8379,"2","0","0","3","7",2020,0,21,2015,47.3828,-122.023,2020,8031
"226",390000,"4",2.25,1250,7500,"1","0","0","5","7",1250,0,73,2015,47.5123,-122.373,1280,7392
"227",479950,"3",2,1510,6516,"1","0","0","3","8",1510,0,10,2015,47.7076,-122.013,1640,6009
"228",264950,"5",2.25,1720,9753,"1","0","0","4","7",1120,600,37,2015,47.2922,-122.371,1510,9753
"229",235000,"4",1,1430,15246,"1","0","0","4","7",980,450,54,2015,47.4075,-122.214,1960,13068
"230",516500,"4",2.5,1480,4729,"2","0","0","3","7",1480,0,11,2015,47.6794,-122.034,2250,4729
"231",655000,"3",1.75,1450,15798,"2","1","4","3","7",1230,220,100,1978,47.4497,-122.375,2030,13193
"232",5e+05,"5",2.75,2280,15347,"1","0","0","5","7",2280,0,55,2015,47.5218,-122.164,2280,15347
"234",213000,"3",1,1000,10200,"1","0","0","3","6",1000,0,54,2015,47.5687,-121.899,1150,13702
"235",475000,"4",1.5,2480,5280,"1.5","0","0","5","7",1620,860,68,2015,47.5575,-122.303,2090,4800
"236",1025000,"6",4,3760,28040,"2","0","0","3","10",3760,0,32,2015,47.6489,-122.183,3430,35096
"237",416000,"4",2,2220,94300,"1","0","0","5","7",1640,580,39,2015,47.3459,-121.95,2070,80100
"238",410000,"5",1,1970,4740,"1.5","0","0","3","7",1670,300,111,2005,47.6136,-122.303,1510,4740
"239",8e+05,"4",3.5,3830,221284,"2","0","0","3","10",3530,300,22,2015,47.7641,-122.023,2920,148539
"241",225000,"4",1.75,1430,8505,"1","0","0","4","7",1430,0,47,2015,47.3173,-122.319,1190,8640
"242",210000,"3",1,830,6000,"1","0","0","3","6",830,0,75,2015,47.5308,-122.376,830,4960
"243",455000,"3",1,1430,5000,"1.5","0","0","2","7",1430,0,90,2015,47.6727,-122.299,1450,3750
"244",225000,"4",1,1300,8316,"1","0","0","4","6",1300,0,61,2015,47.3221,-122.216,1260,8316
"245",480000,"3",1,1030,3060,"1","0","2","4","7",790,240,97,2015,47.6779,-122.353,1390,3060
"246",363000,"4",2.5,2740,11872,"2","0","0","3","9",2740,0,25,2015,47.3076,-122.395,2570,10377
"248",181000,"3",1.5,720,5120,"1","0","0","3","6",720,0,61,2015,47.5218,-122.357,1150,2566
"249",250000,"5",2,2010,7312,"1","0","0","4","7",2010,0,39,2015,47.2785,-122.213,2010,7650
"250",481000,"4",1.75,1560,3000,"1","0","0","4","6",770,790,97,2015,47.6846,-122.345,1390,3000
"251",260000,"4",2,1810,7209,"1","0","0","4","7",1240,570,37,2015,47.3656,-122.278,1750,7209
"252",455000,"5",2.5,3360,7685,"2","0","0","3","9",3360,0,14,2015,47.4369,-122.111,3060,6567
"253",415000,"4",2.25,1510,36224,"2","0","0","3","8",1510,0,24,2015,47.4616,-121.711,1730,36224
"254",349500,"4",1,1400,3538,"1","0","0","3","7",800,600,62,2015,47.5405,-122.27,1620,6331
"255",245000,"4",2.5,1730,7442,"2","0","0","3","7",1730,0,28,2015,47.3507,-122.178,1630,6458
"256",592500,"3",2,1420,9191,"1.5","0","2","5","7",1420,0,87,2015,47.6979,-122.32,1420,6816
"257",385000,"5",1.75,2360,7620,"1","0","0","4","7",1180,1180,60,2015,47.5278,-122.345,1910,7620
"258",315000,"4",1.75,1580,11455,"1","0","0","4","7",1200,380,41,2015,47.4756,-122.147,1550,10650
"259",255000,"4",1,1230,10170,"1","0","0","3","7",1230,0,36,2015,47.4437,-121.772,1380,10098
"260",693000,"5",2.5,2460,4425,"2","0","0","3","8",2460,0,9,2015,47.7048,-122.109,2990,5659
