"","MSZoning","LotShape","LandContour","LotConfig","Neighborhood","Condition2","BldgType","HouseStyle","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","HeatingQC","Electrical","KitchenQual","Functional","GarageType","GarageFinish","PavedDrive","SaleType","SaleCondition","MasVnrType.1","BsmtFinType2.1","BsmtFinSF2","MSZoning.1","Foundation.1","BsmtExposure.1","BsmtFinType1.1","Condition1.1","Utilities.1","BsmtQual.1","LandContour.1","LandSlope.1","LotConfig.1","BsmtCond.1","Exterior1st.1","ExterQual.1"
"11","RL","Reg","Lvl","Inside","Sawyer","Norm","1Fam","1Story","Hip","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"12","RL","IR1","Lvl","Inside","NridgHt","Norm","1Fam","2Story","Hip","WdShing","Wd Shng","Stone","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Ex","Typ","BuiltIn","Fin","Y","New","Partial","Stone","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","WdShing","Ex"
"13","RL","IR2","Lvl","Inside","Sawyer","Norm","1Fam","1Story","Hip","HdBoard","Plywood","None","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"14","RL","IR1","Lvl","Inside","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","New","Partial","Stone","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"15","RL","IR1","Lvl","Corner","NAmes","Norm","1Fam","1Story","Hip","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No","BLQ","Unf","TA","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","BLQ","Norm","AllPub","TA","Lvl","Gtl","Corner","TA","MetalSd","TA"
"16","RM","Reg","Lvl","Corner","BrkSide","Norm","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Ex","FuseA","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Corner","TA","Wd Sdng","TA"
"17","RL","IR1","Lvl","CulDSac","NAmes","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","CulDSac","TA","Wd Sdng","TA"
"18","RL","Reg","Lvl","Inside","Sawyer","Norm","Duplex","1Story","Gable","MetalSd","MetalSd","None","TA","TA","Slab","Fa","Fa","Mn","GLQ","ALQ","TA","SBrkr","TA","Typ","CarPort","Unf","Y","WD","Normal","None","ALQ",0,"RL","Slab","Mn","GLQ","Norm","AllPub","Fa","Lvl","Gtl","Inside","Fa","MetalSd","TA"
"19","RL","Reg","Lvl","Inside","SawyerW","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","TA","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","PConc","No","GLQ","RRAe","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"20","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Hip","BrkFace","Plywood","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","TA","SBrkr","TA","Min1","Attchd","Unf","Y","COD","Abnorml","None","Unf",0,"RL","CBlock","No","LwQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","BrkFace","TA"
"21","RL","IR1","Lvl","Corner","NridgHt","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","BuiltIn","RFn","Y","New","Partial","BrkFace","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Ex","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"22","RM","Reg","Bnk","Inside","IDOTRR","Norm","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","Ex","FuseF","Gd","Typ","Attchd","Unf","N","WD","Normal","None","Unf",0,"RM","PConc","No","Unf","Norm","AllPub","TA","Bnk","Gtl","Inside","TA","Wd Sdng","TA"
"23","RL","Reg","Lvl","Inside","CollgCr","Norm","1Fam","1Story","Hip","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"24","RM","Reg","Lvl","Inside","MeadowV","Norm","TwnhsE","1Story","Gable","CemntBd","CmentBd","None","TA","TA","PConc","Gd","TA","No","GLQ","Unf","TA","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RM","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","CemntBd","TA"
"25","RL","IR1","Lvl","Inside","Sawyer","Norm","1Fam","1Story","Gable","Plywood","Plywood","None","TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ","Ex","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","ALQ",668,"RL","CBlock","Mn","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Plywood","TA"
"26","RL","Reg","Lvl","Corner","NridgHt","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","Stone","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"27","RL","Reg","Lvl","Corner","NAmes","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","Mn","BLQ","Rec","TA","SBrkr","Gd","Typ","Detchd","Unf","Y","WD","Normal","None","Rec",486,"RL","CBlock","Mn","BLQ","Norm","AllPub","TA","Lvl","Gtl","Corner","TA","Wd Sdng","TA"
"28","RL","Reg","Lvl","Inside","NridgHt","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","Stone","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"29","RL","IR1","Lvl","CulDSac","NAmes","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Gd","BLQ","Unf","TA","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","CBlock","Gd","BLQ","Norm","AllPub","TA","Lvl","Gtl","CulDSac","TA","MetalSd","TA"
"30","RM","IR1","Lvl","Inside","BrkSide","RRNn","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Fa","SBrkr","Fa","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Feedr","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"31","C (all)","Reg","Lvl","Inside","IDOTRR","Norm","1Fam","2Story","Gambrel","BrkFace","BrkFace","None","TA","Fa","BrkTil","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"C (all)","BrkTil","No","Unf","Feedr","AllPub","TA","Lvl","Gtl","Inside","TA","BrkFace","TA"
"32","RL","IR1","Lvl","CulDSac","Sawyer","Norm","1Fam","1Story","Gable","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","Gd","SBrkr","Gd","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","Unf","Norm","AllPub","TA","Lvl","Gtl","CulDSac","TA","HdBoard","TA"
"33","RL","Reg","Lvl","Corner","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Ex","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"34","RL","IR1","Lvl","Inside","NAmes","Norm","1Fam","1Story","Hip","BrkFace","BrkFace","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","Gd","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","BrkFace","TA"
"35","RL","Reg","Lvl","Inside","NridgHt","Norm","TwnhsE","1Story","Hip","MetalSd","MetalSd","BrkFace","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Ex","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","MetalSd","Ex"
"36","RL","Reg","Lvl","Inside","NridgHt","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","BuiltIn","Fin","Y","WD","Normal","Stone","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"37","RL","Reg","Lvl","Corner","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","TA"
"38","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Hip","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","Rec","Unf","Gd","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"39","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","Gd","CBlock","TA","TA","No","GLQ","Unf","TA","SBrkr","Gd","Typ","Detchd","Unf","Y","WD","Abnorml","None","Unf",0,"RL","CBlock","No","GLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"40","RL","Reg","Lvl","Inside","Edwards","Norm","Duplex","1Story","Gable","AsbShng","Plywood","None","TA","TA","PConc","Ex","Fa","Gd","ALQ","GLQ","TA","FuseP","Fa","Typ","2Types","RFn","N","WD","AdjLand","None","GLQ",0,"RL","PConc","Gd","ALQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","Fa","AsbShng","TA"
"41","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","Rec","Unf","Ex","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Abnorml","BrkFace","Unf",0,"RL","CBlock","No","Rec","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"42","RL","Reg","Lvl","Inside","Timber","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","Gd","CBlock","TA","TA","Gd","BLQ","Unf","Gd","SBrkr","TA","Typ","Attchd","RFn","P","WD","Normal","None","Unf",0,"RL","CBlock","Gd","BLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","VinylSd","TA"
"43","RL","IR1","Lvl","CulDSac","SawyerW","Norm","1Fam","SFoyer","Gable","HdBoard","HdBoard","None","TA","TA","CBlock","Gd","TA","Av","ALQ","LwQ","Gd","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","LwQ",93,"RL","CBlock","Av","ALQ","Norm","AllPub","Gd","Lvl","Gtl","CulDSac","TA","HdBoard","TA"
"44","RL","IR1","Lvl","CulDSac","CollgCr","Norm","1Fam","1Story","Hip","VinylSd","VinylSd","None","TA","TA","CBlock","Gd","TA","Av","LwQ","BLQ","TA","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","BLQ",491,"RL","CBlock","Av","LwQ","Norm","AllPub","Gd","Lvl","Gtl","CulDSac","TA","VinylSd","TA"
"45","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","BrkFace","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","ALQ","BLQ","Ex","FuseA","TA","Typ","Attchd","RFn","Y","WD","Normal","None","BLQ",506,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","BrkFace","TA"
"46","RL","Reg","Lvl","Inside","NridgHt","Norm","TwnhsE","1Story","Hip","MetalSd","MetalSd","BrkFace","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Ex","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","MetalSd","Ex"
"47","RL","IR1","Lvl","CulDSac","Mitchel","Norm","1Fam","1.5Fin","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Abnorml","None","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Ex","Lvl","Gtl","CulDSac","TA","VinylSd","Gd"
"48","FV","Reg","Lvl","Inside","Somerst","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"FV","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"49","RM","Reg","Lvl","Inside","OldTown","Norm","2fmCon","2Story","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","Attchd","RFn","N","New","Partial","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","MetalSd","TA"
"50","RL","Reg","Lvl","Inside","Sawyer","Norm","1Fam","1Story","Gable","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","BLQ","Unf","Ex","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","BLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"51","RL","IR2","Lvl","Corner","Gilbert","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av","GLQ","Unf","Gd","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","TA"
"52","RM","Reg","Lvl","Inside","BrkSide","Norm","1Fam","1.5Fin","Gable","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","PConc","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","Wd Sdng","TA"
"53","RM","IR2","Bnk","Corner","IDOTRR","Norm","Duplex","1Story","Gable","Wd Sdng","Wd Sdng","None","Fa","TA","CBlock","Gd","TA","Gd","LwQ","GLQ","TA","SBrkr","TA","Typ","CarPort","Unf","Y","WD","Normal","None","GLQ",712,"RM","CBlock","Gd","LwQ","RRNn","AllPub","Gd","Bnk","Mod","Corner","TA","Wd Sdng","Fa"
"54","RL","IR1","Low","Inside","Veenker","Norm","1Fam","1Story","Gable","WdShing","Wd Shng","None","Gd","TA","CBlock","Ex","TA","Gd","GLQ","Unf","Gd","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","CBlock","Gd","GLQ","Norm","AllPub","Ex","Low","Gtl","Inside","TA","WdShing","Gd"
"55","RL","Reg","Bnk","Inside","NAmes","Norm","1Fam","SLvl","Gable","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","ALQ","Unf","TA","SBrkr","TA","Min1","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","ALQ","Norm","AllPub","TA","Bnk","Mod","Inside","TA","MetalSd","TA"
"56","RL","IR1","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","HdBoard","Plywood","BrkFace","TA","TA","CBlock","TA","TA","No","BLQ","Unf","Gd","SBrkr","TA","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","No","BLQ","Norm","AllPub","TA","Lvl","Gtl","Inside","TA","HdBoard","TA"
"57","FV","Reg","Lvl","Inside","Somerst","Norm","Twnhs","2Story","Gable","MetalSd","MetalSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","Fin","Y","WD","Abnorml","BrkFace","Unf",0,"FV","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","MetalSd","Gd"
"58","RL","IR1","Lvl","Corner","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","None","Unf",0,"RL","PConc","No","Unf","Norm","AllPub","Gd","Lvl","Gtl","Corner","TA","VinylSd","Gd"
"59","RL","IR2","HLS","CulDSac","StoneBr","Norm","1Fam","2Story","Hip","VinylSd","VinylSd","BrkFace","Ex","TA","PConc","Ex","TA","Gd","Unf","Unf","Ex","SBrkr","Gd","Typ","BuiltIn","Fin","Y","New","Partial","BrkFace","Unf",0,"RL","PConc","Gd","Unf","Norm","AllPub","Ex","HLS","Gtl","CulDSac","TA","VinylSd","Ex"
"60","RL","Reg","Bnk","Inside","CollgCr","Norm","1Fam","1Story","Gable","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","Av","ALQ","Unf","Ex","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RL","CBlock","Av","ALQ","Norm","AllPub","TA","Bnk","Gtl","Inside","TA","HdBoard","TA"
"61","RL","Reg","Lvl","Inside","SawyerW","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","ALQ","Unf","Ex","SBrkr","Gd","Typ","Detchd","Unf","Y","New","Partial","None","Unf",0,"RL","PConc","No","ALQ","RRAe","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","TA"
"62","RM","Reg","Lvl","Inside","IDOTRR","Norm","1Fam","2.5Unf","Gable","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","Fa","No","Unf","Unf","TA","SBrkr","Fa","Typ","Detchd","Unf","N","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","Norm","AllPub","TA","Lvl","Gtl","Inside","Fa","MetalSd","TA"
"63","RL","IR1","Lvl","Inside","NridgHt","Norm","TwnhsE","1Story","Gable","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","Gd","Mn","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","Stone","Unf",0,"RL","PConc","Mn","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","Gd","VinylSd","Gd"
"64","RM","IR1","Bnk","Inside","OldTown","Feedr","1Fam","2Story","Gable","Stucco","Stucco","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","Gd","SBrkr","TA","Typ","Detchd","Unf","Y","WD","Normal","None","Unf",0,"RM","BrkTil","No","Unf","RRAn","AllPub","TA","Bnk","Gtl","Inside","TA","Stucco","TA"
"65","RL","Reg","Lvl","Inside","CollgCr","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","TA","TA","PConc","Gd","TA","No","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","No","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","TA"
"66","RL","Reg","Lvl","Inside","NridgHt","Norm","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","Av","Unf","Unf","Ex","SBrkr","Gd","Typ","BuiltIn","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","Av","Unf","Norm","AllPub","Ex","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"67","RL","Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story","Gable","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","Gd","GLQ","Unf","TA","SBrkr","TA","Min1","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","CBlock","Gd","GLQ","PosA","AllPub","Gd","Lvl","Gtl","Inside","TA","Plywood","TA"
"68","RL","IR1","Lvl","Inside","CollgCr","Norm","1Fam","1Story","Gable","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","Ex","SBrkr","Gd","Typ","Attchd","RFn","Y","WD","Normal","BrkFace","Unf",0,"RL","PConc","Av","GLQ","Norm","AllPub","Gd","Lvl","Gtl","Inside","TA","VinylSd","Gd"
"69","RM","Reg","Lvl","Corner","OldTown","Norm","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","No","Unf","Unf","TA","SBrkr","TA","Typ","Attchd","Unf","Y","WD","Normal","None","Unf",0,"RM","CBlock","No","Unf","Artery","AllPub","TA","Lvl","Gtl","Corner","TA","MetalSd","TA"
"70","RL","Reg","Lvl","Corner","ClearCr","Norm","1Fam","1.5Fin","Gable","BrkFace","AsbShng","None","Gd","TA","CBlock","TA","TA","No","BLQ","Unf","TA","SBrkr","TA","Typ","Attchd","Fin","Y","WD","Normal","None","Unf",0,"RL","CBlock","No","BLQ","Norm","AllPub","TA","Lvl","Gtl","Corner","TA","BrkFace","Gd"
