"","racepctblack","racePctWhite","medIncome","pctWWage","pctWInvInc","pctWPubAsst","medFamInc","perCapInc","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctOccupMgmtProf","MalePctDivorce","FemalePctDiv","TotalPctDiv","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctKidsBornNeverMar","PctLargHouseFam","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","PctHousOwnOcc","PctVacantBoarded","PctHousNoPhone","PctWOFullPlumb","MedRentPctHousInc","LemasPctOfficDrugUn","murdPerPop","rapes","rapesPerPop","robbbPerPop","assaultPerPop","burglaries","burglPerPop","larcPerPop","autoTheftPerPop","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"16",2.52,94.39,37856,82.29,51.08,4.87,43154,16459,6.22,4.4,14.64,20.28,4.17,68.12,27,8.23,11.14,9.75,76.68,76.9,84.85,81.49,2.71,3.71,80.79,1.43,42.87,3,75.86,2.08,0.35,0.35,26.9,0,0,6.76417446890035,23.8419440887128,79.7,109.22,226,667.12,4776.1,469.34,20.66,214.985983336396,5933.23
"17",2.65,95.72,44635,84.94,50.24,3.78,48757,16723,2.89,6.55,21.62,17.59,4.01,68.24,24.73,7.02,9.76,8.38,81.96,79.92,91.04,80.39,1.3,4.08,79.94,1.23,32.43,3,76.15,0.16,0.89,0.13,24.8,0,2.19,0,0,50.46,37.29,282,618.62,1987.5,508.94,15.36,89.94,3130.42
"18",1.3,74.02,34372,76.17,40.04,11.27,39652,17966,14.37,11.54,22.83,28.55,6.95,60.04,33.09,8.68,13.33,11.12,77.1,74.78,86.01,79.01,2.62,6.98,39.38,18.31,75.17,2,38.71,2.25,1.53,0.46,30.5,5.88,5.02,30,16.72,197.91,154.42,1596,889.74,2509.23,806.68,40.7,374.07,4246.34
"19",2.28,94.74,49851,81.88,69.45,1.59,58871,22647,2.35,1.33,5.95,54.76,2.57,66.85,53.3,5.73,11.09,8.64,82.5,82.05,94.94,78,0.74,2.47,85.62,0.43,18.79,3,82.53,0.61,0.18,0.21,24.6,0,0,2,13.24,66.18,33.09,99,655.15,2739.73,119.12,26.47,112.5,3540.47
"20",8.41,82.64,35048,90.25,39.01,2.71,41620,16239,8.21,3.71,12.19,29.99,4.99,74.65,30.91,10.73,14.79,12.77,78.19,75.99,87.64,76.69,1.89,4.07,58,4.95,47.54,3,51.84,1.81,5.5,0.14,23.7,7.87,2.39,146,49.94,242.88,477.55,3977,1360.48,3938.78,838.8,33.18,772.77,6171.23
"21",1.61,95.66,51314,92.25,58.68,2.41,59421,21908,3.36,1.57,5.56,41.39,3.24,78.05,39.55,7.99,10.17,9.09,85.61,86.12,93.55,87.45,1.31,3.3,79.9,1.21,40.32,3,73.63,0.08,0.29,0.14,22.9,0,0,6.47531272439949,19.5478874543055,21.41,90.6,271,446.39,2418.09,164.72,102.13,139.10376935123,3131.33
"22",28.71,52.26,29823,73.57,35.38,13.12,34360,16281,19.29,14.1,31.68,22.98,8.98,56.12,30.55,9.13,14.02,11.77,57.64,52.24,67.42,59.25,10.5,9.16,31.59,12.3,73.76,2,28.64,4.83,7.33,1.25,25.7,6.91,26.59,2818,38.5,1174.95,857.68,99207,1355.37,3212.39,1536.49,60.7,2097.71,6164.95
"23",18.97,53.6,29043,90.39,28.69,6.9,28870,11338,9.67,5.8,15.83,17.01,3.5,75.2,20.38,7.15,11.83,9.33,80.12,77.88,90.58,78.19,1.69,7.26,31.74,11.94,55.65,2,34.5,0.57,1.62,0.24,31.6,0,12.89,9,58.03,270.79,303.03,226,1457.12,3526.76,322.37,32.24,644.75,5338.49
"24",0.41,97.55,32221,84.63,38.36,3.37,40745,15012,6.07,5.83,17.61,26.78,3.14,69.56,29.23,9.73,13.85,11.94,74.41,72.56,84.48,77.2,1.78,1.9,58.03,1.26,56.02,2,51.73,1.28,3.83,0.79,26.1,0,0,1,8.07,0,137.13,64,516.25,4694.68,217.79,32.27,145.2,5461
"25",13.79,83.94,34934,80.47,47.11,2.74,39691,15534,5.75,4.07,14.21,21.25,5.39,64.92,32.44,10.45,13.36,11.99,77.22,72.98,82.62,75.63,1.41,3.74,78.92,2.26,29.4,3,77.85,1.14,2.03,0.08,24.5,0,0,10,55.52,105.48,399.71,226,1254.65,4002.66,349.75,11.1,560.71,5618.16
"26",0.06,97.72,26198,73.97,42.1,3.92,31007,12779,8.72,8.18,22.43,15.11,3.31,63.1,21.56,9.43,13.38,11.54,78.73,76.61,88.72,85.57,0.89,3.36,65.6,2.8,41.45,3,63.8,0.34,8.04,0.4,24.8,0,0,9,29.18,32.42,142.64,233,755.34,3938.79,155.61,19.45,204.23,4869.19
"27",0.41,94.65,45892,80.46,65.77,0.73,53342,24462,3.33,2.73,7.59,48.93,2.69,70.55,48.83,9.63,15.57,12.8,78.29,77.07,91.35,86.93,0.32,2.69,75.61,1.36,30.49,3,75.35,1.25,0.87,0.24,20.2,0,6.69,2,13.38,160.6,167.29,149,997.06,2388.92,301.12,6.69,347.97,3693.79
"28",2.92,87.36,28108,78.15,34.68,12.74,32096,13518,12.92,6.71,21.49,14.45,7.07,61.86,23.15,13.12,19.09,16.22,65.86,63.25,74.02,65.85,3.29,5.26,40.87,8.76,63.54,2,40.71,1.47,2.97,0.24,30.8,0,8.59,42,45.1,260.94,579.87,1368,1469.01,4634.68,954.64,33.29,894.51,7091.62
"29",1.89,82.45,23258,72.45,34.4,10.28,28495,10965,15.28,12.99,26.49,14.51,6.5,57.18,24.61,10.96,13.25,12.15,75.49,73.66,84.59,76.77,1.84,5.93,66.4,4.87,47.7,3,62.56,2.18,6.75,0.32,26.2,0,14.57,20,145.72,21.86,961.75,217,1581.06,7103.83,400.73,58.29,1143.9,9143.9
"30",42.15,56.94,22052,77.25,21.89,13.69,27523,10009,22.94,15.88,37.55,10.76,8.34,59.29,20.04,11.69,16.28,14.22,60.12,51.11,61.99,61.76,9.54,7.83,58.69,6.3,43.55,3,57.74,8.31,12.35,1.08,29,0,25.12,24,86.13,434.25,179.44,197,707.01,2860.32,854.15,0,724.95,4421.48
"31",26.96,72.26,14874,62.83,20.56,18.81,19434,7635,38.27,23.94,44.84,10.82,13.93,42.8,23.57,8.97,12.76,11.08,67.27,62.57,68.65,66.57,5.78,9,63.1,7.17,40.73,3,64.53,7.32,14.35,0.64,28.6,0,0,2,17.4,78.28,1391.67,213,1852.66,2583.28,278.33,8.7,1487.34,4722.97
"32",0.12,70.83,18395,79.18,18.24,16.71,19910,6981,37.29,36.26,51.16,11.63,11.24,51.36,21.99,6.18,10.95,8.73,75.51,67.71,84.14,75.33,2.8,21.34,61.58,26.43,53.73,2,58.96,6.4,12.42,2.11,27.6,4.26,13.75,7,4.58,106.72,564.37,1720,1126.13,4089.41,680.91,52.38,689.42,5948.83
"33",1.46,93.15,22166,65,47.13,7.08,29893,11991,13.5,12.54,31.33,12.33,8.97,52.65,22.91,9.34,11.8,10.7,65.74,62.69,67.57,70.4,3.28,4.07,53.56,1.79,36.94,3,50.94,2.1,6.72,0.66,24.7,0,0,3,14.98,14.98,19.97,128,639.11,1567.81,84.88,26.6516119322755,49.93,3647.78272498707
"34",0.37,98.84,36618,83.22,51.29,4.56,40809,14049,4.05,3.9,13.97,26,5.73,67.68,28.01,7.33,10.65,9.06,80.48,78.23,94.1,77.23,0.72,3.62,83.55,1.2,38.37,3,79.89,0,1.17,0.71,28,0,0,0,0,0,16.72,34,284.28,568.56,66.89,0,16.72,919.73
"35",1.17,94.31,34372,83.58,40.93,5.74,41095,14767,8.87,5.6,17.5,14.84,5.13,67.09,21.27,11.57,12.21,11.89,78.88,77.97,85.49,86.8,1.06,5.33,71.4,2.83,46.05,3,67.27,7.53,3.51,0.81,19,0,4.92,14,68.92,29.54,546.45,213,1048.59,4342.05,374.14,0,649.83,5764.78
"36",0.24,88.57,27230,73.45,33.34,13.22,30357,11994,12.63,12.32,30.95,9.97,10.34,54.22,18.21,12.03,16.32,14.31,70.31,67.82,80.88,74.89,2.51,5.56,55.37,7.42,49.8,3,56.37,1.08,3.3,0.11,28.7,0,0,4,28.91,50.6,267.46,161,1163.8,3628.74,368.66,93.97,346.97,5255.17
"37",52.88,46.59,18499,75,24.1,13.17,21753,10912,24.07,21.8,43.91,11.92,7.91,57.23,19.28,11.55,16.06,14.13,49.68,42.97,50.51,49.82,9.53,6.31,50.62,5.05,46.78,3,52.29,4.9,12.61,1.45,29.5,0,36.77,3,18.38,447.33,1268.46,628,3848.28,6893.8,625.04,61.28,1770.94,11428.4
"38",7.95,82.42,51594,88.74,38.24,5.92,52659,15142,5.34,4.93,24.25,10.32,5.1,48.14,23.72,8.43,12.03,9.94,82.9,75.36,88.3,80.68,3.46,10.56,82.83,6.06,22.51,3,82.4,3.63,2.5,0.24,28.2,0,4.04,4,16.15,117.11,472.5,279,1126.73,2237.3,1033.84,60.58,609.81,4458.44
"39",59.63,39.76,18060,71.26,20.33,18.48,23068,9081,31.96,18.51,38.54,15.58,12.45,51.79,23.16,11.72,14.97,13.52,52.47,42.18,56.12,54.33,12.32,11.3,57.98,9.73,45.71,3,58.32,12.14,11.02,0.83,32.3,0,35.96,34,76.4,148.31,298.88,1745,3921.35,5912.36,417.98,128.09,559.55,10379.78
"40",0.94,91.3,54658,77.85,62.49,2.52,63337,28161,2.73,2.43,8.38,35.77,2.43,69.33,39.23,9.48,12.87,11.26,82.5,81.21,91.83,77.66,0.58,2.14,75.92,1.98,44.78,3,72.37,0.68,0.56,0,26.6,0,3.54,1,3.54,85.06,113.41,153,542.25,2076.84,191.38,0,205.56,2810.46
"41",4.8,78.81,23534,76.93,37.05,6.25,27832,11353,18.5,14.84,29.08,17.61,7.71,61.16,23.56,10.22,13.83,12.12,74.97,70.45,83.76,76.93,1.9,5.71,61.39,6.6,52.54,2,59.21,1.64,7.89,0.47,25.4,11.61,8.85,43,47.57,43.14,412.63,842,931.46,3687.11,192.49,27.2983015606542,512.19,6683.68203769994
"42",5.26,94.08,21688,67.14,36.17,12.39,26443,10366,16.93,8.47,31.19,7.88,8.67,51.76,15.52,11.23,13.8,12.63,66.86,64.74,66.61,70.4,4.37,3.99,66.48,1.45,44.54,3,64.26,3.39,5.1,0.48,26.6,0,0,7,25.08,78.84,630.69,206,738.19,3547.62,318.93,68.09,734.61,4672.83
"43",42.2,51.25,21962,72.63,20.23,22.07,25834,9847,26.67,12.04,37.61,7.95,14.4,51.07,14.34,15.75,19.81,17.89,46.61,41.73,48.83,52.16,12.73,9.52,52.36,6.93,55.71,2,49.73,12.83,8.97,0.46,30.5,10.69,27.27,75.6212203974725,71.0229390577699,607.12,2038.09,1470,2109.86,2818.88,1254.43,86.12,1597.14416116261,6269.29
"44",44.58,54.68,26125,75.62,29.04,10.49,31379,11831,17.28,17.59,36.09,12.26,7.06,57.9,22.3,9.99,11.88,11,67.53,59.27,73.73,67.93,8.21,6.44,68.27,3.41,34.4,3,67.75,9.83,10.47,4.04,28.7,0,16.22,37,66.7,288.42,547.99,646,1164.49,3558.36,457.86,46.87,919.33,5227.58
"45",36.84,62.7,22446,70.6,35.91,8.64,29604,13742,15.61,18.52,37.05,15.82,5.68,57.4,23.08,11.15,15.14,13.39,59.28,53.26,53.45,64.04,7.8,4.18,63.12,2.44,47.1,3,60.67,5.52,6.58,0.52,23.7,0,12.52,7,43.81,137.7,488.2,164,1026.48,6133.82,337.99,56.33,682.23,7554.61
"46",0.63,97.81,38742,73.79,48.04,3.6,44680,16523,3.74,5.59,20.23,16.51,5.55,60.08,24.31,6.22,9,7.69,84.22,82.61,92.92,84.33,1.03,4.06,83.83,1.31,44.45,3,82.54,0.72,0.67,0.16,32.6,0,2.92,9,13.15,40.9,74.5,415,606.2,1773.32,143.15,20.45,131.47,2543.13
"47",0.7,95.77,53419,75.85,57.16,2.75,70219,40537,6.14,2.39,5.87,49.02,1.84,72.93,48.8,14.7,19.21,16.9,76.69,74.71,93.62,80.52,0.3,2.54,64.34,2.34,59.3,2,59.78,0.57,0.39,0.44,27.9,0,0,5,20.8,91.5,682.11,412,1713.6,3635.15,578.13,12.48,794.41,5939.36
"48",1.85,62.03,16180,69.32,13.09,24.32,18788,5740,37.04,42.31,61.8,6.31,12.26,44.19,14.35,8.53,12.4,10.59,72.16,61.18,76.35,72.71,3.45,18.52,68.41,20.25,50.24,2,68.98,25.81,17.21,3.15,28.7,0,7.38,1,7.38,22.15,383.99,302,2230.1,2392.56,413.53,59.08,420.91,5095.26
"49",2.72,93.52,31103,84.33,41.08,4.69,35161,13271,7.07,6.7,21.43,13.17,5.13,70.23,18.35,9.7,12.84,11.33,76.5,75.93,83.36,74.53,2.5,4.93,73.05,2.55,48.64,3,67.43,0.79,1.71,0.09,23,0,1.55,6.30198016100479,26.5465375512065,180.07,377.21,625,970.18,3469.37,409.8,20.18,267.642647568991,4869.53
"50",0.31,98.63,36091,84.9,47.33,3.41,41312,14482,5,7.84,18.63,16.75,5.18,69.13,19.55,8.72,10.57,9.66,79.12,79.48,92.03,76.62,1.42,4.2,78.24,1.63,37.23,3,72.34,0.69,1.44,0.22,27.2,0,0,5.37481698570339,21.4531705658612,12.1,96.82,120,726.17,2232.98,242.06,6.05,160.284059616337,3207.26
"51",0.09,99.39,19985,69.56,33.14,8.77,24252,10444,18.82,20.78,39.87,11.26,7.01,55.48,17.54,11.78,13.59,12.75,76.53,72.93,77.38,75.02,0.67,2.28,68.9,1.88,43.88,3,67.53,4.66,10.95,0.51,26,0,4.65,9,41.81,9.29,37.16,134,622.47,2331.96,162.59,4.65,92.91,3121.66
"52",1.7,91.28,54348,73,55.83,3.47,83272,55463,6.6,3.6,10.57,46.95,3.8,60.76,51.85,8.33,15.23,12.23,75.73,77.69,90.56,81.23,1.04,4.05,54.32,3.27,61.04,2,43.85,1.38,0.4,0.2,29.5,4.76,3,8,24.03,843.97,216.25,472,1417.63,5271.06,663.76,42.05,1087.25,7394.5
"53",16.34,81.75,43376,76.55,65.12,2.47,51327,18705,2.9,3.26,9.16,47,4.65,60.44,44.99,4.4,7.76,6.2,83.94,83.27,88.68,79.48,2.22,3.36,83.68,0.56,22.15,3,77.25,0,0.21,0,27.5,0,0,2,13.97,97.77,125.71,62,432.99,1298.97,216.5,0,237.45,1948.46
"54",4.22,94.72,22439,72.65,31.66,12.41,27049,10365,16.85,9.68,30.32,9.41,10.98,55.48,17.85,13.31,15.71,14.6,70.49,66.69,77.23,76.39,2.97,4.6,63.17,1.68,40.38,3,61.48,3.38,12.2,0.81,25.6,0,2.88,16,46.03,106.44,57.53,587,1688.58,4409.86,296.29,8.63,212.87,6403.36
"55",19.7,76.96,24819,71.86,36.37,12.29,30980,11894,19.09,8.57,26.84,14.06,9.92,55.56,22.88,11.86,15.15,13.62,62.64,58.92,68.72,65.53,6,5.59,64.11,1.95,47.33,3,60.65,13.37,5.49,0.34,27.2,4.39,13.89,357,110.19,492.02,368.86,5502,1698.29,4707.51,1394.26,110.19,984.96,7910.25
"56",39.86,53.52,24603,70.12,32.15,13.98,30140,12091,20.27,11.29,35.69,15.22,9.62,52.77,24.81,10.62,14.12,12.53,53.45,47.22,62.33,56.66,11.53,8.48,66.55,4.69,42.28,3,61.95,21.96,4.25,0.88,29.8,4.19,28.7,785,51.31,753.74,445.86,15117,988.14,2561.1,1554.73,149.17,1279.6,5253.14
"57",2.08,92.78,59719,81.14,66.23,2.91,70071,28840,4.33,3.72,8.34,57.22,3.94,67.36,52.32,4.92,7.62,6.41,84.76,84.77,94.31,84.44,0.7,4.02,73.79,0.84,33.82,3,68.91,0.29,0.37,0.27,25.2,0,1.17,11,12.82,31.46,210.9,479,558.12,1709.31,288.96,0,256.34,2556.39
"58",3.52,95.13,32704,64.97,54.7,4.52,37695,18875,6.72,4.72,15.77,26.17,4.21,51.11,37.67,8.39,11.99,10.31,76.18,74.95,86.68,78.71,1.18,2.01,78.76,1.07,43.28,3,76.93,0.81,1.73,0.08,28.3,0,0,10,31.02,74.45,37.23,293,908.95,2940.9,241.97,0,142.7,4091.83
"59",26.41,72.45,23726,72.25,39.06,7.54,30141,12657,16.45,13.61,30.52,21.74,5.97,56.27,27.39,9.43,12.67,11.25,64,59.7,69.62,69.8,5.88,3.95,61.35,1.83,47.28,3,58.2,4.31,7.07,0.29,24.7,5.8,4.47,45,67,159.32,522.63,560,833.83,3448.48,273.97,74.45,753.42,4630.73
"60",17.14,81.71,36770,87.63,42.8,3.8,42144,14677,9.48,4.37,13.22,38.29,3.37,70.5,35.55,6.55,11.35,9.11,76.53,74.47,81.25,77.03,3.9,3.92,72.5,2.99,33.11,3,68.26,0.94,2.6,0.37,25.6,0,8.76,0,0,61.34,52.58,169,740.51,1906.06,52.58,21.91,122.69,2721.06
"61",34.26,65.09,19433,70.39,31.57,8.88,25523,10866,19.89,18.33,37.36,16.96,7.46,54.48,22.1,10.91,14.14,12.75,56.04,49.67,64.92,59.42,7.89,5.24,52.36,3.97,57.54,2,52.26,2.41,11.53,0.25,24.6,0,26.85,15,50.34,449.74,1322.37,568,1906.36,4098,459.81,10.07,1849.3,6474.24
"62",5.83,87.21,35934,89.64,34.13,4.08,40198,14115,7.73,5.36,18.76,18.31,4.74,74.16,25.69,10.29,15.87,13.21,77.5,74.52,84.99,75.71,1.78,4.66,67.55,4.75,36.41,3,63.45,5.24,3.79,0.16,24.3,5.62,4.32,33,28.5,118.34,415.48,420.316883877586,749.200729150912,4475.25,657.34,80.33,566.64,4494.24005665565
"63",24.63,73,36995,84.91,42.77,4.16,41144,14756,4.89,5.02,13.06,24.93,4.94,67.87,30.45,8.64,16.2,12.71,71.03,70.17,84.99,73.42,3.72,4.83,70.95,1.63,44.74,3,69.66,0.31,1.03,0.15,22.7,0,7.89,5.83144107286392,22.3793467483483,98.58,118.29,124,488.94,2062.22,445.57,15.77,209.577081528584,3012.5
"64",0.11,99.03,23056,70.18,49.72,8.75,30546,11034,11.12,15.8,25.73,13.05,6.85,55.78,22.54,7.8,12.13,10.14,72.22,72.67,77.26,73.78,1.89,3.44,65.29,1.06,51.2,2,58.78,2.54,2.55,0.56,27.1,0,0,2,14.83,7.42,29.66,50,370.81,2862.65,111.24,29.66,51.91,3374.37
"65",0.92,96.35,49143,88.07,64,1.98,52531,18362,3.51,3.8,11.01,37.21,3.13,69.01,44.28,5.19,6.42,5.81,89.64,88.59,96.51,89.58,0.32,3.26,88.77,0.45,16.76,3,86.08,0.22,0.35,0.07,22.9,0,0,3,7.91,52.76,34.3,200,527.63,2717.32,184.67,68.59,94.97,3498.22
"66",0.28,98.83,31235,79.04,51.45,4.67,38391,14246,8.06,6.21,16.34,28.98,6.42,63.92,28.3,8.61,11.97,10.46,74.41,73.75,80.96,82.82,1.74,2.93,64.12,1.25,48.35,3,58.09,0.44,4.6,0.33,29.7,0,0,23,102.18,17.77,302.1,155,688.61,3709.63,106.62,62.2,422.05,4567.06
"67",2.55,97.01,32713,73.7,46.04,5.23,36199,14243,8.79,8.16,25.83,13.65,5.41,55.46,27.61,7.8,9.11,8.48,82.16,77.61,83.46,74.35,1.16,3.26,83.85,1.2,32.59,3,82.69,2.27,2.3,1.35,24.3,0,0,15,37.91,96.04,318.45,324,818.86,2446.48,90.98,32.86,452.4,3389.19
"68",9.69,89.52,23773,69.21,43.75,8.65,26537,13164,12.53,9.07,21.74,20.9,6.62,55.31,34.27,9.65,12.34,11.16,63.45,64.25,70.11,66.94,2.99,3.26,62.28,0.65,56.32,2,55.3,5.87,1.91,1.15,24.4,0,18.94,5,47.34,170.42,170.42,65,615.41,1893.58,1145.62,85.21,407.12,3739.82
"69",15.78,82.73,19923,72.35,34.7,9.69,26131,12108,20.8,12.59,29.21,21.73,7.11,55.4,27.6,12.18,15.95,14.23,62.09,57.18,75.41,64.48,4.81,3.15,54.26,2.29,59.26,2,49.86,7.04,6.38,0.28,26.5,10.26,8.14,102,59.32,346.59,1279.37,2817,1638.17,3504.88,935.68,100.6,1693.42,6179.34
"70",5.59,92.94,25649,84.51,30.14,2.24,32919,13997,8.46,11.55,25.51,16.96,5.99,71.82,20.59,13.18,17.29,15.37,66.54,65.51,80.56,67.38,2.38,1.49,47.84,1.7,65.02,2,42.9,1.27,6.37,0.65,22.5,0,7.46,1,7.46,126.74,320.58,150,1118.32,4518,313.13,7.46,462.24,5956.91
"71",1.61,94.71,41736,86.85,56.86,2.63,48608,20032,3.7,2.51,8.76,31.69,3.28,74.28,31.64,7.74,10.92,9.4,80.21,80.39,88.29,82.66,1.27,2.84,77.03,1.41,42.58,3,70.35,0.15,0.63,0.18,25.8,0,4.65,8.47121046232335,23.2696799277046,75.59,119.79,715,831.52,4254.13,484.96,22.6361756155429,323.656619886721,4298.77757347411
"72",11.1,83.79,58194,85.08,64.95,2.35,64920,27093,1.49,4.57,12.02,41.42,3.75,67.53,42.09,5,7.81,6.47,86.47,83.94,96.9,86.91,0.67,3.96,85.73,0.92,25.64,3,81.45,2.53,0.41,0.28,23.5,0,4.61,3,13.82,55.27,41.45,102,469.79,1271.19,409.91,9.21,115.14,2160.1
"73",1.41,96.54,45481,82.11,60.89,2.87,50916,19668,1.79,8.71,20.02,24.89,3.44,67.54,32.55,7.02,9.91,8.57,82.24,81.3,94.23,79.27,0.85,3.04,84.14,0.88,42.36,3,81,0.26,0.25,0.19,24.7,0,0,4,13.68,10.26,54.72,144,492.44,2681.08,376.17,3.42,78.65,3553.11
